guess,exp_remaining,entropy,worst_case,partitions
noted,737.4098057354302,5.120796094560024,2147,154
cabre,737.4353993216158,5.126610182443039,1863,164
sooey,737.5114091890225,4.924125370537795,1551,120
copse,737.568146777675,5.080714019108438,1561,155
blads,737.68208448967,5.0546699930974786,1817,154
sides,737.931699044095,5.060531964885436,1950,145
tamps,737.9455750847981,5.136730555978476,2069,149
apode,737.9892075238977,4.985593064084967,1782,146
hauds,737.991211840888,5.040752529984879,1823,156
diner,738.1034535923527,5.23000542410927,2254,173
danks,738.2002775208141,5.102879674673974,1953,150
prods,738.2701202590194,5.128375644891248,1916,164
kyars,738.2887758248536,5.023114287297801,1681,158
puces,738.3296330558126,5.0946086950625205,1796,157
poses,738.4424915201973,5.04066712629358,1862,150
moten,738.495683009559,5.087924918562531,2004,162
after,738.5487203206907,4.95761952014536,1757,132
disme,738.786463151403,5.101645099587016,1778,152
wauls,738.8307123034227,5.042069780604141,1977,144
girns,738.8900709219859,5.17488185425868,1917,166
tauon,738.9091890225101,5.059582404201119,1797,153
nanos,739.109004008634,4.872193605792543,1727,131
chars,739.31806968856,5.130985119840405,1798,164
sasin,739.3239284613013,4.993881912052491,1915,131
poake,739.3630897317299,5.013549506619482,1691,149
meres,739.4013259327783,5.195855259687297,2039,161
waist,739.4221399938328,5.028811525806071,1717,158
testa,739.5621338267036,4.908628795851544,1355,142
zilas,739.6475485661424,4.943130025837536,1791,133
tsars,739.709065679926,4.997978827646587,1916,127
awner,739.7295713845205,4.994656518966259,1833,144
borne,739.7437557816836,5.181594164248074,2077,164
cozes,739.7872340425532,4.889058067789314,1676,130
zeins,739.8697193956214,4.945360227276985,1621,137
telae,739.9025593586185,5.112712402563819,1958,144
spirt,740.0080172679618,5.125233716959556,1956,162
goner,740.0243601603454,5.13634657438996,2100,162
foams,740.049645390071,4.960695146299952,1724,139
crape,740.1165587419057,5.1462530890142455,1759,170
dosas,740.168208448967,4.965110598371607,1736,132
dotal,740.2119950662966,5.057685348220604,1862,155
brins,740.2257169287697,5.09328589241477,1871,149
strip,740.31806968856,5.050821035118,1956,149
lited,740.3465926611162,5.144550884540179,2190,160
sensi,740.4312365094049,4.973036266802551,1692,135
neuks,740.5320690718471,5.023396689094904,1724,142
lasso,740.8706444650015,4.8567062086917,1678,125
taits,741.0598211532532,5.048385470100658,1891,155
baled,741.1443108233118,5.126201249075002,2003,171
negus,741.1527906259636,4.9932632652307145,1695,151
halms,741.1746839346284,5.110544742135723,2031,157
toaze,741.2343509096515,4.882356811911411,1613,135
hoves,741.2724329324699,4.914925716161284,1711,132
korai,741.4056429232193,5.003652876112886,1713,151
taxer,741.4256860931237,4.891201919578471,1942,124
racon,741.5189639222941,5.032448822794391,1987,165
flans,741.5889608387296,5.0025183986294754,1861,146
snath,741.700123342584,5.126325372854116,1875,159
narco,741.786617329633,5.0259445994827745,1987,157
tripe,741.8775824853531,5.187725429440852,2126,167
largo,741.877736663583,5.015054959746255,1964,147
hokas,741.9165895775517,5.022570536836854,1721,159
chias,742.0713845205057,5.110826324291162,1769,164
musar,742.1085414739439,5.091482370329045,1683,163
volae,742.1942645698427,4.986744920501731,1626,162
slype,742.2010484119643,5.0286973369838845,1634,160
liger,742.2368177613321,5.053982816029765,2058,159
warps,742.2469935245143,5.073082037290821,1979,153
guise,742.4374036386063,5.0205848383278004,1466,151
gulas,742.4640764724021,5.147941894185773,1898,169
porta,742.477644156645,5.169730559140112,1896,163
savin,742.5271353684859,4.986081769815653,1800,154
maneh,742.6655874190565,5.021895978228966,1835,144
oleos,742.6709836571076,4.9280280196373445,1632,127
tilde,742.7278754239901,5.161246840409498,2190,157
reata,742.8075855689177,5.0356672941278,1968,136
stive,743.0368485969781,4.911325532192929,1692,131
taals,743.0897317298798,5.150621974800702,2132,144
auras,743.0977489978414,5.066757814311843,1952,141
liber,743.1150169596053,5.045336824741252,2070,156
suras,743.1191797718162,5.071725409105943,1952,144
sices,743.2095282146161,5.002758059561561,1858,138
beray,743.4099599136601,5.103027650164518,1763,171
eaves,743.4634597594819,4.814722952520784,1649,127
saick,743.4932161578785,5.0393037300433665,1855,146
blore,743.4981498612395,5.082816660756556,2002,161
lunet,743.5023126734505,5.0885649320319715,2066,155
gleds,743.5152636447733,5.0118219825897095,1770,149
torah,743.7505396238051,5.146746832598128,1956,172
fared,743.8102065988282,5.097340648863241,2054,158
wanle,743.8543015726179,5.069451233302466,1880,152
clems,743.8899167437557,5.043108953348084,1641,148
skort,743.9190564292322,5.032619261719395,1957,138
usher,743.9696268886834,4.803197730954822,1710,129
recit,744.072617946346,5.11962237518273,2109,161
steel,744.1927227875424,5.013058561437845,1889,143
stars,744.2244835029294,5.012546248390853,1916,130
sohur,744.2420598211532,4.993743659819178,1898,150
devos,744.2846130126426,4.925598314307865,1774,145
clays,744.2995683009559,5.024061956231458,1742,148
talas,744.3034227567067,5.15503888389177,2132,153
logie,744.3328707986433,5.077060853252656,1800,160
liker,744.4616096207216,4.997609823209873,2038,146
leear,744.4964539007092,5.031685055548796,1936,138
hoses,744.5437866173296,4.952662077237959,1804,133
scand,744.68208448967,5.006396432349141,1693,140
trice,744.6890225100216,5.195569546003077,2109,172
alowe,745.1073080481036,4.927057757192913,1650,127
boaks,745.1170212765958,5.034418869193524,1767,157
drake,745.1981190255935,5.098110640712725,1940,149
remit,745.2315757015109,5.1247901817514165,2115,164
dream,745.404563675609,5.0580652185308885,1883,156
rater,745.5713845205057,4.956472570393938,1968,137
lests,745.6147086031452,5.026194189608546,1889,131
gator,745.8983965464076,5.0461282524740065,1974,159
muirs,745.9340117175454,5.148225332635205,1978,164
delay,745.9995374653099,5.135040387412646,1800,163
douar,746.0544249152019,5.081140981424465,1768,150
waxes,746.2619488128277,4.750478427692991,1555,116
kohas,746.2724329324699,4.980701920614089,1721,152
oncer,746.3202281837805,4.953445701499462,1928,145
worts,746.5704594511255,5.142797821585421,2061,172
twals,746.7212457600987,5.069530069513433,1946,163
agone,746.7298797409806,5.0083930023776615,1685,147
media,746.7348134443416,5.040647614965369,1679,155
sprag,746.7474560592044,4.98758689102112,1815,140
leady,746.7560900400863,5.092338360772516,1800,160
ogler,746.777212457601,4.918157939460813,1935,138
losel,746.8758865248227,4.895990880267661,1657,126
plast,747.0888066604996,5.099758828701349,1778,167
rewan,747.2013567684243,4.994973718851027,1833,152
silty,747.2257169287697,5.15564034854906,1955,166
crees,747.3172987974098,5.110832003658077,1951,153
